,,,x,y,z,xyz,,,,,x,y,z,xyz,,,,,G,A,
5,,120,0.4,0,0.3,0.5,0.5,,,120,38.6,13.2,-1.3,40.8,,,120,0,-1.3,37.831,1.3
20.6,,121,1.8,-0.1,1,2.06,2.059126028,,,121,-6.8,68.7,10.8,69.8,,,121,-0.1,10.8,27.831,10.8
6.7,,122,0.6,0.1,0.3,0.67,0.670820393,,,122,-59.8,-2,-30.5,67.2,,,122,0.1,-30.5,47.831,30.5
6.6,,123,0.5,-0.2,0.4,0.66,0.640312424,,,123,6.9,23.8,-149.9,151.9,,,123,-0.2,-149.9,17.831,149.9
19.2,,124,1.6,-0.8,0.6,1.92,1.708800749,,,124,3.9,102.9,-112.7,152.7,,,124,-0.8,-112.7,42.169,112.7
9,,125,0.7,-0.5,0.2,0.9,0.728010989,,,125,-19.5,-119.3,211.1,243.3,,,125,-0.5,211.1,12.169,211.1
7.1,,126,0.5,-0.2,0.4,0.71,0.640312424,,,126,-2.7,-72,48.1,86.6,,,126,-0.2,48.1,17.831,48.1
17.5,,127,1.5,-0.1,1,1.75,1.802775638,,,127,14.9,2.5,17.2,22.9,,,127,-0.1,17.2,27.831,17.2
10.7,,128,0.9,0.1,0.5,1.07,1.029563014,,,128,-24.5,23.8,-0.3,34.2,,,128,0.1,-0.3,47.831,0.3
5.4,,129,0.5,0,0.3,0.54,0.583095189,,,129,0,-34.7,-87.8,94.4,,,129,0,-87.8,37.831,87.8
18.7,,130,1.6,-0.6,0.8,1.87,1.788854382,,,130,34.3,64.8,-175.8,190.5,,,130,-0.6,-175.8,22.169,175.8
11.2,,131,0.5,-1,0.2,1.12,0.538516481,,,131,-18,-40.2,156.2,162.3,,,131,-1,156.2,62.169,156.2
3.4,,132,-0.2,-0.2,0.1,0.34,0.223606798,,,132,6.9,-57.7,99.7,115.4,,,132,-0.2,99.7,17.831,99.7
22.7,,133,2,-0.2,1.1,2.27,2.282542442,,,133,-13.5,-24.6,59.6,65.8,,,133,-0.2,59.6,17.831,59.6
13.6,,134,1.2,0.4,0.5,1.36,1.3,,,134,-18.7,23.4,-67.2,73.6,,,134,0.4,-67.2,77.831,67.2
15.1,,135,0.5,1.4,0.4,1.51,0.640312424,,,135,78.5,-139.2,-239.1,287.6,,,135,1.4,-239.1,177.831,239.1
28.2,,136,1.8,-2,0.8,2.82,1.96977156,,,136,-31.1,55.1,-20.6,66.5,,,136,-2,-20.6,162.169,20.6
13.7,,137,0.8,-1.1,0.2,1.37,0.824621125,,,137,-115.4,-5.1,199.8,230.8,,,137,-1.1,199.8,72.169,199.8
6.9,,138,0.5,-0.3,0.3,0.69,0.583095189,,,138,-15.2,-63.3,160.9,173.5,,,138,-0.3,160.9,7.831,160.9
24.7,,139,2,-0.1,1.5,2.47,2.5,,,139,-33.9,67.3,115,137.5,,,139,-0.1,115,27.831,115
8.3,,140,0.7,0.4,0,0.83,0.7,,,140,-115.6,24.6,-59.4,132.3,,,140,0.4,-59.4,77.831,59.4
3.4,,141,0.2,0.1,0.3,0.34,0.360555128,,,141,26.7,-16.7,-209.9,212.2,,,141,0.1,-209.9,47.831,209.9
23.8,,142,2,-1.1,-0.8,2.38,2.154065923,,,142,-11.2,188.1,-120.7,223.8,,,142,-1.1,-120.7,72.169,120.7
14.2,,143,0.6,-1.3,0.3,1.42,0.670820393,,,143,-43.3,18,155.6,162.5,,,143,-1.3,155.6,92.169,155.6
11.1,,144,0.6,-0.8,0.5,1.11,0.781024968,,,144,152.4,-13.7,174.2,231.8,,,144,-0.8,174.2,42.169,174.2
21.4,,145,2,0.6,0.6,2.14,2.088061302,,,145,-60.7,51,114.9,139.6,,,145,0.6,114.9,97.831,114.9
7.7,,146,0.7,0.3,0,0.77,0.7,,,146,-72.7,97.2,-141.5,186.4,,,146,0.3,-141.5,67.831,141.5
14.4,,147,1.3,-0.4,0.5,1.44,1.392838828,,,147,12.7,-146.2,-250,289.9,,,147,-0.4,-250,2.169,250
23.3,,148,1.2,-2,0,2.33,1.2,,,148,55.9,36.2,134.9,150.5,,,148,-2,134.9,162.169,134.9
6.5,,149,0.6,-0.3,0.1,0.65,0.608276253,,,149,41,-25.4,160.1,167.2,,,149,-0.3,160.1,7.831,160.1
18.4,,150,1.6,0.3,0.8,1.84,1.788854382,,,150,-35.6,74.9,184,201.8,,,150,0.3,184,67.831,184
20.7,,151,1.9,0.8,0.4,2.07,1.941648784,,,151,-43.6,125.4,-57.1,144.5,,,151,0.8,-57.1,117.831,57.1
9.2,,152,0.7,-0.3,0.4,0.92,0.806225775,,,152,-13.6,-25.9,-250,251.7,,,152,-0.3,-250,7.831,250
23.7,,153,1.2,-2,-0.3,2.37,1.236931688,,,153,-6.5,122.2,58.2,135.5,,,153,-2,58.2,162.169,58.2
5,,154,0.3,-0.4,0.2,0.5,0.360555128,,,154,26.1,-106.5,208,235.1,,,154,-0.4,208,2.169,208
