,,,,,,,,,,,,,AY,gz
219,-0.2,1,0.2,10.6,,219,-21.7,-54.7,-64.6,87.4,,219,10,-64.6
220,-0.2,1.2,0.2,11.9,,220,-36,-64.4,-77.3,106.8,,220,12,-77.3
221,-0.2,0.9,0.3,9.8,,221,-40.9,-29.4,-90.5,103.6,,221,9,-90.5
222,-0.1,1,0.3,10,,222,-48.7,-21.1,-64,83.2,,222,10,-64
223,-0.2,0.8,0.3,8.7,,223,-34,22.8,-28,49.6,,223,8,-28
224,-0.2,0.8,0.2,8.2,,224,0.9,10.7,16.2,19.4,,224,8,16.2
225,-0.2,0.9,0.2,9.2,,225,10.3,43.3,55.8,71.4,,225,9,55.8
226,-0.2,1,0.3,10.3,,226,12.3,60.6,87.7,107.3,,226,10,87.7
227,-0.2,1,0.3,10.8,,227,12.7,60.2,91.1,109.9,,227,10,91.1
228,-0.2,1,0.3,10.9,,228,14.1,50.7,81,96.6,,228,10,81
229,-0.2,1,0.3,10.8,,229,24.1,6.1,53.9,59.4,,229,10,53.9
230,-0.1,0.8,0.3,8.8,,230,5.9,7.1,9.4,13.2,,230,8,9.4
231,-0.1,0.8,0.3,8.7,,231,-7.1,33.6,2.5,34.5,,231,8,2.5
232,-0.2,0.7,0.3,8.2,,232,7,-43.3,-10.7,45.1,,232,7,-10.7
233,-0.2,0.9,0.3,9.9,,233,7.5,-67.5,-29.8,74.2,,233,9,-29.8
234,-0.2,1,0.2,10.7,,234,-6.8,-94.3,-49.1,106.5,,234,10,-49.1
235,-0.1,1.1,0.2,11.6,,235,-38.9,-77.5,-75.3,114.8,,235,11,-75.3
236,-0.1,1,0.2,10.6,,236,-60.6,12.8,-78.3,99.8,,236,10,-78.3
237,-0.1,1,0.3,10.3,,237,-57.8,22.8,-52.8,81.5,,237,10,-52.8
238,-0.2,0.7,0.3,7.9,,238,-22.1,10.4,-35.2,42.9,,238,7,-35.2
239,-0.2,0.7,0.2,8,,239,-1.9,3.7,8.6,9.5,,239,7,8.6
240,-0.2,0.8,0.2,8.9,,240,23.4,19.2,56.4,64,,240,8,56.4
241,-0.2,1,0.2,10,,241,29.3,40.4,90,102.9,,241,10,90
242,-0.2,1.1,0.3,11.3,,242,29.3,45.4,90.5,105.4,,242,11,90.5
243,-0.1,1,0.3,10.9,,243,19.3,54,67.1,88.3,,243,10,67.1
244,-0.1,0.9,0.3,9.8,,244,10.6,51,40,65.6,,244,9,40
245,-0.2,0.9,0.3,9.4,,245,9.4,10.1,21.8,25.8,,245,9,21.8
246,-0.1,0.8,0.3,8.2,,246,-2.4,-12.6,4.4,13.5,,246,8,4.4
247,-0.2,0.9,0.3,9.5,,247,-12.6,-22.4,-20.1,32.6,,247,9,-20.1
248,-0.2,0.9,0.2,9.7,,248,-6,-65.9,-58.5,88.3,,248,9,-58.5
249,-0.2,1.1,0.2,11.3,,249,-17.9,-89.1,-76.2,118.6,,249,11,-76.2
250,-0.2,1.1,0.2,11.1,,250,-25.7,-67.8,-80.5,108.3,,250,11,-80.5
251,-0.1,1,0.3,10.9,,251,-47.1,-49.8,-73.2,100.3,,251,10,-73.2
252,-0.2,0.9,0.3,9.2,,252,-53.6,9.3,-56.9,78.7,,252,9,-56.9
253,-0.2,0.8,0.3,8.7,,253,-39.4,18.5,-19.9,47.8,,253,8,-19.9
254,-0.2,0.6,0.3,6.9,,254,-2.4,36.8,24.1,44.1,,254,6,24.1
255,-0.2,0.8,0.3,8.9,,255,22.9,4.8,60.2,64.6,,255,8,60.2
256,-0.1,1,0.4,10.4,,256,20.7,39.7,92.6,102.8,,256,10,92.6
257,-0.2,1,0.3,10.7,,257,28.6,48.4,94.7,110.1,,257,10,94.7
258,-0.2,1.1,0.3,11.4,,258,18.6,44.9,82.7,96,,258,11,82.7
259,-0.1,0.9,0.3,9.8,,259,2.7,59.8,47.3,76.3,,259,9,47.3
260,-0.1,0.9,0.3,9.5,,260,0.3,42.8,28.3,51.3,,260,9,28.3
261,-0.1,0.8,0.3,8.8,,261,9.1,-1,6.6,11.3,,261,8,6.6
262,-0.1,0.8,0.3,8.3,,262,1.5,-34.5,-14.1,37.3,,262,8,-14.1
263,-0.1,0.9,0.3,9.7,,263,-5.2,-41.8,-36.7,55.8,,263,9,-36.7
264,-0.2,1,0.3,10.6,,264,-6.3,-83.2,-57.2,101.2,,264,10,-57.2
265,-0.2,1.1,0.2,11.1,,265,-24.8,-76.7,-84.4,116.7,,265,11,-84.4
266,-0.2,1.2,0.3,12,,266,-35.1,-60.9,-85.6,110.8,,266,12,-85.6
267,-0.2,1,0.3,10.4,,267,-44.2,1.5,-92.4,102.5,,267,10,-92.4
268,-0.2,0.8,0.3,8.9,,268,-44.4,-5.9,-54.1,70.3,,268,8,-54.1
269,-0.2,0.7,0.3,8.4,,269,-28.6,7.9,-2.3,29.8,,269,7,-2.3
270,-0.3,0.7,0.4,8.7,,270,4.9,32.7,57.2,66,,270,7,57.2
271,-0.3,0.8,0.3,9.3,,271,15.1,32.9,62.2,72,,271,8,62.2
272,-0.3,0.9,0.3,10,,272,25.4,29.8,89,97.2,,272,9,89
273,-0.2,0.9,0.3,10,,273,25.7,25.7,99.2,105.6,,273,9,99.2
274,-0.2,1.1,0.3,11.7,,274,25.2,10.9,83,87.5,,274,11,83
275,-0.2,1,0.3,10.1,,275,3.3,46.1,29.1,54.6,,275,10,29.1
276,-0.1,0.9,0.3,9.2,,276,4.9,35,9.1,36.5,,276,9,9.1
277,-0.2,0.8,0.3,8.8,,277,21.6,-17,4.6,27.9,,277,8,4.6
278,-0.2,0.8,0.2,8.5,,278,6.3,-43.5,-16.7,47,,278,8,-16.7
279,-0.2,1,0.3,10.5,,279,-9.9,-30.7,-43.4,54.1,,279,10,-43.4
280,-0.2,1,0.2,10.4,,280,-23.8,-66,-85.2,110.4,,280,10,-85.2
281,-0.2,1.1,0.2,10.9,,281,-27.5,-64,-82.8,108.2,,281,11,-82.8
282,-0.1,1,0.2,10.1,,282,-28.7,-31.4,-59.4,73.1,,282,10,-59.4
283,-0.2,1,0.3,10.3,,283,-35.8,-19.1,-42.1,58.5,,283,10,-42.1
284,-0.2,0.8,0.3,8.6,,284,-42.2,36.5,-17.1,58.4,,284,8,-17.1
285,-0.2,0.9,0.3,9.4,,285,-11.9,32.2,41.7,54,,285,9,41.7
286,-0.3,0.8,0.3,8.8,,286,10.3,25.1,49.3,56.2,,286,8,49.3
287,-0.2,0.9,0.3,9.5,,287,20.7,42.2,79.6,92.4,,287,9,79.6
288,-0.2,1,0.3,10.2,,288,18.2,55.1,92.6,109.3,,288,10,92.6
289,-0.2,1,0.3,11.1,,289,17.3,42.8,80.4,92.7,,289,10,80.4
290,-0.1,0.9,0.3,9.7,,290,7.4,54.3,46,71.5,,290,9,46
291,-0.1,0.9,0.4,9.3,,291,9.4,23.2,27.7,37.3,,291,9,27.7
292,-0.1,0.8,0.4,9.2,,292,13.2,-16.5,4.7,21.6,,292,8,4.7
293,-0.1,0.8,0.3,8.7,,293,0.3,-38.4,-15.5,41.4,,293,8,-15.5
294,-0.2,0.9,0.3,10,,294,-6.1,-40.7,-42.7,59.3,,294,9,-42.7
295,-0.2,1,0.3,10.7,,295,-4.5,-74.4,-61.1,96.4,,295,10,-61.1
